Time,Gonio
0.0,-58.51868
10.0,-58.51868
20.0,-58.51868
30.0,-57.96936
40.0,-57.25525
50.0,-58.02429
60.0,-56.95313
70.0,-58.21655
80.0,-57.63977
90.0,-57.44751
100.0,-58.40881
110.0,-57.33765
120.0,-58.27148
130.0,-57.52991
140.0,-57.28271
150.0,-58.27148
160.0,-57.14539
170.0,-59.42505
180.0,-57.6123
190.0,-57.55737
200.0,-58.29895
210.0,-57.58484
220.0,-58.35388
230.0,-57.83203
240.0,-57.52991
250.0,-58.27148
260.0,-57.33765
270.0,-57.99683
280.0,-57.8595
290.0,-57.66724
300.0,-58.02429
310.0,-57.00806
320.0,-59.42505
330.0,-57.83203
340.0,-58.18909
350.0,-59.83704
360.0,-57.99683
370.0,-59.50745
380.0,-59.34265
390.0,-59.12292
400.0,-60.08423
410.0,-59.09546
420.0,-60.24902
430.0,-60.0293
440.0,-59.45251
450.0,-60.93567
460.0,-59.75464
470.0,-61.12793
480.0,-60.68848
490.0,-60.9906
500.0,-62.08923
510.0,-60.9906
520.0,-62.28149
530.0,-61.86951
540.0,-62.00684
550.0,-61.70471
560.0,-60.57861
570.0,-61.48499
580.0,-61.21033
590.0,-60.96313
600.0,-62.08923
610.0,-60.55115
620.0,-61.23779
630.0,-61.34766
640.0,-60.82581
650.0,-60.79834
660.0,-59.58984
670.0,-60.35889
680.0,-59.8645
690.0,-59.09546
700.0,-59.67224
710.0,-58.9032
720.0,-58.793335
730.0,-58.68347
740.0,-57.94189
750.0,-58.32642
760.0,-57.42004
770.0,-57.66724
780.0,-56.84326
790.0,-56.37634
800.0,-56.01929
810.0,-54.78333
820.0,-54.50867
830.0,-54.09668
840.0,-53.24524
850.0,-53.24524
860.0,-52.44873
870.0,-52.77832
880.0,-52.20154
890.0,-51.56982
900.0,-52.20154
910.0,-50.74585
920.0,-51.02051
930.0,-49.72961
940.0,-50.27893
950.0,-49.64722
960.0,-49.27643
970.0,-48.90564
980.0,-48.98804
990.0,-49.23523
1000.0,-48.52112
1010.0,-47.69714
1020.0,-47.66968
1030.0,-47.61475
1040.0,-46.73584
1050.0,-47.03796
1060.0,-46.07666
1070.0,-47.06543
1080.0,-46.40625
1090.0,-46.35132
1100.0,-46.54358
1110.0,-45.91187
1120.0,-46.32385
1130.0,-45.8844
1140.0,-45.08789
1150.0,-46.07666
1160.0,-44.9231
1170.0,-45.69214
1180.0,-44.7583
1190.0,-44.78577
1200.0,-44.9231
1210.0,-44.07166
1220.0,-45.00549
1230.0,-44.26392
1240.0,-44.29138
1250.0,-44.45618
1260.0,-43.6322
1270.0,-44.34631
1280.0,-43.19275
1290.0,-43.46741
1300.0,-43.6322
1310.0,-42.47864
1320.0,-43.082885000000005
1330.0,-43.68713
1340.0,-42.56104
1350.0,-42.78076
1360.0,-41.70959
1370.0,-42.83569
1380.0,-41.51733
1390.0,-41.5448
1400.0,-42.20398
1410.0,-41.51733
1420.0,-42.53357
1430.0,-40.69336
1440.0,-41.13281
1450.0,-40.3363
1460.0,-39.67712
1470.0,-39.81445
1480.0,-39.48486
1490.0,-39.4574
1500.0,-39.73206
1510.0,-38.1665
1520.0,-39.40247
1530.0,-37.45239
1540.0,-37.75452
1550.0,-37.45239
1560.0,-36.73828
1570.0,-37.34253
1580.0,-36.21643
1590.0,-36.35376
1600.0,-36.35376
1610.0,-35.88684
1620.0,-35.94177
1630.0,-35.50232
1640.0,-35.39246
1650.0,-35.80444
1660.0,-35.41992
1670.0,-35.58472
1680.0,-35.52979
1690.0,-36.18896
1700.0,-36.40869
1710.0,-35.50232
1720.0,-36.40869
1730.0,-35.41992
1740.0,-36.10657
1750.0,-36.05164
1760.0,-34.98047
1770.0,-36.27136
1780.0,-35.28259
1790.0,-35.80444
1800.0,-35.66711
1810.0,-34.59595
1820.0,-35.47485
1830.0,-34.26636
1840.0,-34.87061
1850.0,-34.73328
1860.0,-33.27759
1870.0,-33.88184
1880.0,-33.38745
1890.0,-32.89307
1900.0,-32.948
1910.0,-31.24512
1920.0,-32.04163
1930.0,-31.35498
1940.0,-31.30005
1950.0,-31.30005
1960.0,-31.05286
1970.0,-31.602175000000003
1980.0,-32.15149
1990.0,-33.38745
2000.0,-33.08533
2010.0,-33.55225
2020.0,-35.41992
2030.0,-34.87061
2040.0,-36.13403
2050.0,-37.1228
2060.0,-37.34253
2070.0,-38.68835
2080.0,-38.44116
2090.0,-40.36377
2100.0,-40.63843
2110.0,-41.6272
2120.0,-42.80823
2130.0,-42.64343
2140.0,-43.35754
2150.0,-44.12659
2160.0,-44.31885
2170.0,-44.51111
2180.0,-46.37878
2190.0,-45.85693
2200.0,-46.04919
2210.0,-45.82947
2220.0,-47.0929
2230.0,-46.02173
2240.0,-47.28516
2250.0,-46.51611
2260.0,-46.73584
2270.0,-47.17529
2280.0,-46.02173
2290.0,-46.68091
2300.0,-46.81824
2310.0,-46.70837
2320.0,-46.43372
2330.0,-46.70837
2340.0,-46.43372
2350.0,-46.9281
2360.0,-46.73584
2370.0,-46.81824
2380.0,-46.90063
2390.0,-47.25769
2400.0,-46.65344
2410.0,-47.03796
2420.0,-47.34009
2430.0,-46.29639
2440.0,-46.8457
2450.0,-46.70837
2460.0,-46.15906
2470.0,-46.76331
2480.0,-46.62598
2490.0,-46.70837
2500.0,-47.12036
2510.0,-46.699216666666665
2520.0,-46.27807333333333
2530.0,-45.85693
2540.0,-45.60974
2550.0,-45.06042
2560.0,-44.26392
2570.0,-45.30762
2580.0,-44.97803
2590.0,-44.81323
2600.0,-44.37378
2610.0,-43.52234
2620.0,-44.42871
2630.0,-43.43994
2640.0,-43.41248
2650.0,-43.30261
2660.0,-41.98425
2670.0,-42.64343
2680.0,-42.20398
2690.0,-41.6272
2700.0,-41.40747
2710.0,-40.39124
2720.0,-40.99548
2730.0,-40.43243
2740.0,-39.86938
2750.0,-39.75952
2760.0,-38.63342
2770.0,-39.34753
2780.0,-38.68835
2790.0,-38.46863
2800.0,-38.71582
2810.0,-37.89185
2820.0,-38.57849
2830.0,-37.04041
2840.0,-37.37
2850.0,-37.01294
2860.0,-36.90308
2870.0,-36.84814
2880.0,-36.21643
2890.0,-36.29883
2900.0,-35.69458
2910.0,-35.77698
2920.0,-36.68335
2930.0,-35.72205
2940.0,-35.36499
2950.0,-35.14526
2960.0,-34.51355
2970.0,-35.36499
2980.0,-34.0741
2990.0,-33.85437
3000.0,-33.785705
3010.0,-33.71704
3020.0,-32.01416
3030.0,-31.95923
3040.0,-32.39868
3050.0,-31.7395
3060.0,-30.99792
3070.0,-32.26135
3080.0,-30.58594
3090.0,-30.75073
3100.0,-30.88806
3110.0,-29.92676
3120.0,-30.80566
3130.0,-30.06409
3140.0,-30.7782
3150.0,-29.78943
3160.0,-29.13025
3170.0,-30.36621
3180.0,-29.43237
3190.0,-29.6521
3200.0,-28.71826
3210.0,-29.15771
3220.0,-29.45984
3230.0,-28.41614
3240.0,-28.6908
3250.0,-28.27881
3260.0,-27.78442
3270.0,-28.4436
3280.0,-27.67456
3290.0,-27.42737
3300.0,-27.358705
3310.0,-27.29004
3320.0,-26.30127
3330.0,-26.05408
3340.0,-26.63086
3350.0,-26.21887
3360.0,-25.77942
3370.0,-25.83435
3380.0,-25.64209
3390.0,-25.66956
3400.0,-24.59839
3410.0,-23.85681
3420.0,-24.62585
3430.0,-23.0603
3440.0,-23.08777
3450.0,-22.75818
3460.0,-22.34619
3470.0,-22.62085
3480.0,-21.19263
3490.0,-21.76941
3500.0,-20.45105
3510.0,-20.23132
3520.0,-19.95667
3530.0,-19.27002
3540.0,-18.94043
3550.0,-18.36365
3560.0,-18.00659
3570.0,-17.5946
3580.0,-16.30371
3590.0,-17.23755
3600.0,-16.7981
3610.0,-15.4248
3620.0,-15.61707
3630.0,-14.79309
3640.0,-14.5459
3650.0,-14.065245
3660.0,-13.58459
3670.0,-11.55212
3680.0,-10.81055
3690.0,-11.35986
3700.0,-10.01404
3710.0,-9.602051
3720.0,-9.821777
3730.0,-8.805542
3740.0,-8.585815
3750.0,-8.063965
3760.0,-7.047729
3770.0,-7.432251
3780.0,-6.635742
3790.0,-7.047729
3800.0,-6.608276
3810.0,-6.525879
3820.0,-6.580811
3830.0,-6.223755
3840.0,-7.212524
3850.0,-6.71814
3860.0,-5.976563
3870.0,-6.992798
3880.0,-6.672363333333333
3890.0,-6.351928666666667
3900.0,-6.031494
3910.0,-6.031494
3920.0,-7.377319
3930.0,-5.592041
3940.0,-6.745605
3950.0,-6.031494
3960.0,-5.949097
3970.0,-6.580811
3980.0,-5.784302
3990.0,-6.086426
4000.0,-5.592041
4010.0,-5.646973
4020.0,-6.086426
4030.0,-5.180054
4040.0,-5.839233
4050.0,-5.5645750000000005
4060.0,-5.289917
4070.0,-5.015259
4080.0,-4.932861
4090.0,-4.87793
4100.0,-4.438477
4110.0,-4.685669
4120.0,-4.822998
4130.0,-4.520874
4140.0,-5.289917
4150.0,-4.630737
4160.0,-4.328613
4170.0,-4.630737
4180.0,-4.053955
4190.0,-4.603271
