Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.3644, 8.635254,1.991272,1.990051,1.988525,1.992493,1.985474,-9.806351,-2.155979
53.7169, 7.866211,1.999817,1.995544,1.987305,1.991272,1.989746,-9.806351,-2.109292
63.2597, 7.646484,1.99707,1.994324,1.988831,1.994934,1.986389,-9.806351,-1.997961
73.2442, 8.470459,2.003784,1.994324,1.986694,1.983337,1.981812,-9.806351,-2.09343
83.2656, 7.509155,1.993103,1.995239,1.990967,1.999512,1.989441,-9.806351,-2.096124
93.2807, 7.67395,1.995544,1.988831,1.988831,1.997375,1.994934,-9.806351,-2.051831
103.2241, 8.031006,1.994934,1.992798,1.988831,1.999207,1.987305,-9.806351,-2.153884
113.6686, 6.795044,1.999512,1.993408,1.98761,1.989441,1.981506,-9.806351,-2.059612
123.2311, 8.33313,1.990356,1.989441,1.983337,1.994019,1.990051,-9.806351,-2.154183
133.2379, 7.701416,2.001953,2.000427,1.990967,1.991577,1.986389,-9.806351,-2.102708
143.2359, 9.047241,2.000122,1.992798,1.988831,1.989136,1.985474,-9.806351,-2.042553
153.231, 8.388062,2.000732,1.998901,1.990967,1.986084,1.984253,-9.806351,-2.155979
163.2173, 7.783813,1.996765,1.989136,1.986694,1.995239,1.985474,-9.806351,-2.032977
173.2166, 8.525391,2.000122,1.990967,1.982422,1.987305,1.984253,-9.806351,-2.11827
183.2223, 7.316895,1.997986,1.997681,1.990051,1.994629,1.986694,-9.806351,-2.121861
193.5088, 7.921143,2.000732,1.999207,1.990662,1.989746,1.983032,-9.806351,-2.080561
203.2896, 8.195801,1.999512,1.993713,1.987915,1.990051,1.987915,-9.806351,-2.144906
213.2304, 7.646484,1.991272,1.990051,1.986084,1.99585,1.986389,-9.806351,-2.045546
223.23, 8.580322,1.990967,1.986084,1.984863,1.993408,1.987915,-9.806351,-2.140416
233.2183, 7.591553,2.001648,1.998901,1.989441,1.990051,1.986694,-9.806351,-2.13054
243.2131, 8.031006,2.001038,1.993713,1.987,1.987915,1.987305,-9.806351,-2.069788
253.2183, 7.921143,1.997375,1.995239,1.990967,1.990967,1.986694,-9.806351,-2.158373
263.2138, 8.525391,2.002869,1.99646,1.986694,1.984863,1.983948,-9.806351,-2.052429
273.2094, 8.85498,1.998291,1.987915,1.980896,1.989136,1.98822,-9.806351,-2.099116
283.214, 7.591553,1.99585,1.999512,1.989136,1.990051,1.986084,-9.806351,-2.046444
293.2242, 8.717651,1.998901,1.987915,1.987915,1.991882,1.991272,-9.806351,-1.991976
303.2171, 7.728882,1.991577,1.991882,1.990356,2.001038,1.990662,-9.806351,-2.086846
313.7921, 8.250732,1.991882,1.987305,1.981812,1.993713,1.990356,-9.806351,-1.964442
323.2388, 8.250732,1.993713,1.972961,1.971436,1.976624,1.975098,-9.806351,-2.067094
333.2226, 7.454224,1.994324,1.992188,1.990967,1.99707,1.991882,-9.806351,-2.056021
343.221, 8.497925,1.995239,1.990356,1.989136,1.996765,1.992188,-9.806351,-2.029385
353.2372, 8.580322,1.99585,1.988831,1.986389,1.994019,1.994324,-9.806351,-2.127847
363.2085, 7.371826,1.996155,1.993408,1.987915,1.989136,1.982727,-9.806351,-2.041656
373.2183, 8.827515,1.999817,1.991577,1.983948,1.984863,1.97998,-9.806351,-2.152387
383.2332, 7.014771,1.991272,1.994629,1.995544,1.998291,1.989136,-9.806351,-2.152387
393.2134, 8.99231,1.997681,1.990967,1.987305,1.992493,1.992188,-9.806351,-2.091335
403.2311, 9.431763,1.999512,1.993713,1.987915,1.990051,1.98822,-9.806351,-2.158074
413.5022, 8.00354,1.999817,1.993408,1.986694,1.989746,1.983032,-9.806351,-2.060809
423.2401, 8.058472,1.994934,1.987915,1.985168,1.990662,1.986084,-9.806351,-2.169147
433.2311, 7.728882,1.99585,1.987305,1.988831,1.997681,1.994934,-9.806351,-2.164059
443.2103, 7.838745,1.995544,1.990051,1.988831,1.994019,1.990051,-9.806351,-2.121861
453.2293, 8.33313,1.996155,1.997375,1.991577,1.997375,1.989746,-9.806351,-2.222118
463.2575, 8.168335,1.998291,1.987915,1.985474,1.98822,1.986389,-9.806351,-2.136226
473.2004, 7.316895,1.987915,1.989746,1.98761,1.993408,1.983948,-9.806351,-2.214337
483.2422, 7.67395,1.99585,1.994934,1.989746,1.997986,1.991882,-9.806351,-2.134431
493.2355, 7.756348,1.988525,1.994629,1.991882,1.994629,1.984863,-9.806351,-2.074576
503.2088, 7.591553,1.99707,1.998901,1.992188,1.992798,1.982117,-9.806351,-2.142811
513.2334, 7.701416,1.992493,1.989746,1.985168,1.994629,1.989136,-9.806351,-2.048838
523.214, 7.646484,1.990356,1.987915,1.983643,1.992188,1.983948,-9.806351,-2.13054
533.2188, 6.959839,1.996765,1.998291,1.992188,1.994019,1.987,-9.806351,-2.066795
543.2675, 7.921143,1.991272,1.993103,1.990967,1.994934,1.988525,-9.806351,-2.009334
553.2374, 8.168335,2.001343,1.99646,1.989746,1.987915,1.982117,-9.806351,-2.099116
563.2083, 6.795044,1.995239,1.992493,1.987305,1.990356,1.987305,-9.806351,-2.003947
573.2727, 7.042236,1.990967,1.991882,1.986694,1.993408,1.986084,-9.806351,-2.079364
583.2322, 6.383057,2.002869,1.995544,1.986389,1.991577,1.990967,-9.806351,-2.061408
593.235, 5.806274,1.994629,1.99646,1.993408,1.997681,1.986694,-9.806351,-2.026692
603.2058, 6.547852,1.995239,1.991272,1.983643,1.993408,1.992798,-9.806351,-2.136526
613.214, 6.602783,1.987305,1.990662,1.98761,1.996765,1.989136,-9.806351,-2.023699
623.2691, 6.190796,1.99585,1.983948,1.980896,1.990051,1.990051,-9.806351,-2.117671
633.2311, 4.9823,1.990967,1.990356,1.986694,1.998291,1.994629,-9.806351,-2.100912
643.2115, 5.009766,2.001038,1.997375,1.987915,1.990051,1.98822,-9.806351,-2.045546
653.5539, 4.487915,2.000732,1.992798,1.986084,1.989441,1.989441,-9.806351,-2.138022
663.3383, 4.158325,1.997681,1.990662,1.985474,1.987915,1.989136,-9.806351,-2.04405
673.6048, 4.487915,1.992188,1.989441,1.985474,1.993408,1.984558,-9.806351,-2.157475
683.2202, 3.526611,1.995239,1.991882,1.990051,2.001038,1.997375,-9.806351,-2.13473
693.2288, 4.103394,1.99646,1.989746,1.984253,1.993408,1.988831,-9.806351,-2.083255
703.2219, 3.938599,2.000122,1.992493,1.988525,1.990356,1.990967,-9.806351,-2.187702
713.2175, 2.675171,1.990662,1.990051,1.98822,1.99585,1.990051,-9.806351,-2.074875
723.2154, 3.581543,2.004089,1.991882,1.983643,1.983643,1.981506,-9.806351,-2.144906
733.2348, 2.290649,1.994629,1.991882,1.986084,1.994934,1.992493,-9.806351,-2.063503
743.21, 2.290649,1.994629,1.989136,1.98822,1.997681,1.991272,-9.806351,-2.022502
753.234, 2.949829,1.999207,1.997375,1.987915,1.989136,1.985474,-9.806351,-2.125153
763.329, 2.537842,1.998901,1.992493,1.983032,1.986694,1.983643,-9.806351,-2.059014
773.2313, 2.949829,2.002258,1.990662,1.980286,1.987915,1.984558,-9.806351,-2.168848
783.2738, 1.219482,2.003174,1.993408,1.988831,1.990356,1.990356,-9.806351,-2.137723
793.2096, 1.384277,1.996155,1.997375,1.991272,1.991882,1.984863,-9.806351,-2.073379
803.24, 1.109619,2.000122,1.99707,1.989136,1.992493,1.986389,-9.806351,-2.141613
813.2179, 1.30188,1.994629,1.989136,1.984863,1.992798,1.990967,-9.806351,-2.049437
823.243, 1.219482,1.992798,1.975098,1.966858,1.97052,1.97113,-9.806351,-2.116175
833.2137, 0.2032471,1.994324,1.992188,1.989136,1.998901,1.994629,-9.806351,-2.071284
843.562, 0.9997559,1.995239,1.989746,1.989136,1.995239,1.990662,-9.806351,-2.026692
853.2118, 1.109619,1.998291,1.990967,1.990662,1.99646,1.990051,-9.806351,-2.116474
863.2396, 0.7525635,1.99707,1.986084,1.982117,1.992493,1.990356,-9.806351,-2.039261
873.2147, 0.5603027,1.992493,1.992798,1.986694,1.98822,1.97876,-9.806351,-2.151489
883.2395, 0.368042,1.994019,1.990356,1.992493,1.998901,1.994019,-9.806351,-2.099416
893.2597, 0.5877686,1.996155,1.991272,1.985779,1.993408,1.992188,-9.806351,-2.066495
903.2123, 0.2856445,1.994629,1.990356,1.986694,1.991577,1.990356,-9.806351,-2.160767
913.2381, -0.01647949,1.996155,1.992188,1.984253,1.987915,1.988831,-9.806351,-2.0647
923.7, -0.401001,2.000427,1.992493,1.985474,1.984253,1.983337,-9.806351,-2.134132
933.2421, -1.19751,1.990356,1.993713,1.990051,2.000732,1.992493,-9.806351,-2.063203
943.234, -0.8953857,2.002258,2.000122,1.993103,1.990356,1.985474,-9.806351,-2.012027
953.276, -1.691895,1.991272,1.990967,1.990051,1.996155,1.990051,-9.806351,-2.11408
963.2177, -1.801758,1.99707,1.986389,1.982117,1.99585,1.991577,-9.806351,-2.023998
973.2104, -1.582031,1.99646,1.987,1.981506,1.987305,1.989746,-9.806351,-2.112883
983.2162, -2.570801,1.990967,1.992493,1.984253,1.99585,1.994324,-9.806351,-2.078766
993.2513, -3.22998,1.998596,1.994019,1.994629,1.993713,1.983948,-9.806351,-2.025794
1003.238, -1.774292,1.999207,1.991882,1.985168,1.991272,1.992188,-9.806351,-2.087145
1013.208, -3.202515,1.989746,1.989746,1.987915,1.992188,1.985474,-9.806351,-1.987487
1023.213, -3.422241,1.995544,1.993408,1.986084,1.986694,1.980286,-9.806351,-2.062605
1033.51, -4.356079,1.996155,1.993103,1.991882,1.999207,1.993103,-9.806351,-2.028188
1043.21, -6.306152,1.997986,1.995239,1.994324,1.995239,1.990662,-9.806351,-1.999159
1053.218, -4.658203,1.997986,1.99707,1.989746,1.990967,1.986389,-9.806351,-2.110788
1063.219, -4.960327,1.994019,1.992188,1.988525,1.997375,1.98822,-9.806351,-2.000056
1073.246, -5.042725,1.99707,1.985779,1.984253,1.987305,1.987,-9.806351,-2.093729
1083.24, -5.592041,1.997681,1.999817,1.990356,1.991272,1.986694,-9.806351,-2.05213
1093.206, -5.07019,2.001953,1.994019,1.989136,1.978455,1.987305,-9.806351,-2.007838
1103.236, -6.196289,1.999207,1.997375,1.993408,1.990356,1.986389,-9.806351,-2.10989
1113.23, -6.38855,1.992493,1.988831,1.982117,1.990662,1.989136,-9.806351,-2.013524
1123.215, -5.646973,2.001953,1.99585,1.985168,1.986694,1.977844,-9.806351,-2.110489
1133.339, -7.075195,1.998901,1.991577,1.986084,1.994324,1.994019,-9.806351,-2.058415
1143.205, -6.498413,2.001038,1.998596,1.989441,1.986694,1.983032,-9.806351,-2.020108
1153.218, -5.811768,1.997375,1.992493,1.98761,1.992798,1.991577,-9.806351,-2.140716
1163.241, -7.377319,1.999512,1.991272,1.982117,1.98822,1.983948,-9.806351,-2.033874
1173.203, -7.185059,1.994629,1.985168,1.981201,1.985168,1.986389,-9.806351,-2.120664
1183.209, -8.311157,1.994934,1.99646,1.993713,1.996765,1.985474,-9.806351,-2.083853
1193.69, -8.805542,1.999512,1.99707,1.992188,1.992188,1.983032,-9.806351,-2.040458
1203.208, -8.256226,1.997681,1.989746,1.986694,1.992798,1.990967,-9.806351,-2.100613
1213.212, -8.942871,1.99646,1.994629,1.989136,1.990356,1.983948,-9.806351,-1.99437
1223.213, -8.75061,2.004395,1.990967,1.985474,1.983032,1.981506,-9.806351,-2.084751
1233.249, -9.464722,1.99707,1.992493,1.988831,1.997681,1.988525,-9.806351,-2.050634
1243.235, -8.393555,1.992798,1.990967,1.986389,1.994934,1.991272,-9.806351,-2.009633
1253.214, -9.904175,2.000122,2.000732,1.990662,1.994019,1.981812,-9.806351,-2.103306
1263.212, -9.40979,2.003174,1.99707,1.990967,1.98822,1.983948,-9.806351,-1.998859
1273.452, -9.464722,1.989441,1.987915,1.986084,1.993408,1.984253,-9.806351,-2.094328
1283.265, -10.42603,1.999512,1.99707,1.993103,1.995544,1.985474,-9.806351,-2.051831
1293.239, -10.37109,1.998596,1.991272,1.989746,1.990662,1.990662,-9.806351,-2.023998
1303.213, -10.89294,1.992798,1.997681,1.992188,1.993408,1.990051,-9.806351,-2.117971
1313.222, -11.90918,2.001343,1.995239,1.987915,1.989136,1.981812,-9.806351,-2.016516
1323.247, -10.78308,1.987915,1.965332,1.966858,1.972046,1.967773,-9.806351,-2.11408
1333.215, -11.22253,1.99707,1.995544,1.989136,1.990967,1.984863,-9.806351,-2.066495
1343.211, -11.63452,1.998901,1.997986,1.991272,1.991882,1.985474,-9.806351,-2.016516
1353.216, -10.97534,1.997375,1.989746,1.984253,1.992188,1.994019,-9.806351,-2.100613
1363.239, -11.90918,1.996155,1.98761,1.983948,1.992188,1.989441,-9.806351,-2.00664
1373.209, -12.78809,1.993103,1.989441,1.986084,1.992188,1.984863,-9.806351,-2.081459
1383.211, -11.90918,1.996765,1.989746,1.985474,1.994019,1.99646,-9.806351,-2.050933
1393.211, -12.54089,1.997375,1.991577,1.986084,1.991577,1.999817,-9.806351,-2.008735
1403.235, -12.76062,1.990967,1.990051,1.98761,1.99646,1.990051,-9.806351,-2.099116
1413.206, -14.05151,1.999512,1.995239,1.98822,1.991272,1.981506,-9.806351,-2.012626
1423.24, -12.51343,2.002563,1.995239,1.983948,1.979675,1.979065,-9.806351,-2.088043
1433.499, -13.55713,1.991882,1.990662,1.987915,1.996155,1.994629,-9.806351,-2.059014
1443.264, -13.61206,1.997986,1.990662,1.988525,1.993713,1.994019,-9.806351,-2.024297
1453.216, -14.07898,1.997681,1.99585,1.988831,1.992798,1.985168,-9.806351,-2.123657
1463.211, -14.32617,1.995544,1.986389,1.980896,1.990662,1.991272,-9.806351,-2.045845
1473.209, -13.96912,1.991577,1.98822,1.981506,1.991882,1.98822,-9.806351,-2.136825
1483.212, -14.76563,1.99646,1.997986,1.995239,1.992493,1.984253,-9.806351,-2.081758
1493.206, -15.01282,1.994629,1.990967,1.985474,1.990051,1.988525,-9.806351,-2.040159
