Time,Gonio,EMG,ai02,ai03,ai04,ai05,Load_EX,Load_FX
23.1039, 4.899902,1.999512,1.992188,1.990356,1.996155,1.986389,-9.806351,-4.098873
33.1066, 5.421753,1.993408,1.996155,1.995239,1.996155,1.990051,-9.806351,-4.193444
43.486, 4.899902,1.991577,1.990356,1.987305,1.998901,1.991272,-9.806351,-4.175189
53.1008, 5.119629,1.99707,1.998901,1.990967,1.989746,1.982117,-9.806351,-4.272453
63.6391, 6.465454,1.999817,1.996765,1.992188,1.998901,1.997375,-9.806351,-4.231751
73.1172, 4.625244,2.001953,1.99707,1.990356,1.992798,1.982727,-9.806351,-4.123414
83.4576, 6.410522,1.99707,1.993103,1.986084,1.990356,1.990967,-9.806351,-4.19943
93.0747, 5.147095,2.003174,1.994324,1.98822,1.990662,1.984863,-9.806351,-4.18297
103.0932, 5.559082,2.001343,1.992798,1.982422,1.986694,1.987,-9.806351,-4.264971
113.0762, 4.735107,2.006531,1.996765,1.989746,1.991577,1.992493,-9.806351,-4.182371
123.2009, 5.119629,1.992493,1.988831,1.984253,1.996765,1.990662,-9.806351,-4.079121
133.0889, 5.668945,1.998291,1.991272,1.989136,1.993713,1.994934,-9.806351,-4.156633
143.1127, 4.680176,1.998901,1.990356,1.983643,1.992188,1.994019,-9.806351,-4.116231
153.0794, 5.778809,2.000732,1.993713,1.986084,1.983948,1.984558,-9.806351,-4.178181
163.0851, 5.916138,1.99585,1.993408,1.991882,2.001038,2.000122,-9.806351,-4.148553
173.0916, 4.927368,1.989746,1.993713,1.988525,1.997681,1.98822,-9.806351,-4.0468
183.075, 5.559082,2.005005,1.998596,1.98822,1.989441,1.98761,-9.806351,-4.127604
193.0921, 2.949829,2.000122,1.99585,1.987915,1.992188,1.986389,-9.806351,-4.090494
203.0946, 5.229492,1.996155,1.990662,1.985474,1.990662,1.981506,-9.806351,-4.168305
213.071, 6.053467,2.000427,1.994019,1.990051,1.99707,1.995544,-9.806351,-4.139874
223.1777, 5.559082,1.99707,1.991577,1.983948,1.990662,1.984253,-9.806351,-4.094684
233.0932, 5.339355,1.99585,1.994019,1.990967,1.99585,1.987915,-9.806351,-4.232051
243.062, 3.691406,2.006531,1.994629,1.987305,1.988831,1.989136,-9.806351,-4.184765
253.0761, 5.943604,1.996155,1.994019,1.987305,1.987915,1.986389,-9.806351,-4.237138
263.2936, 5.119629,1.993713,1.995239,1.992493,2.000732,1.997375,-9.806351,-4.180575
273.0769, 5.174561,2.002563,1.992493,1.990967,1.989136,1.984863,-9.806351,-4.059968
283.0695, 5.284424,1.998291,1.997681,1.99585,1.994934,1.984863,-9.806351,-4.14137
293.0691, 3.80127,2.006531,1.991272,1.982422,1.987915,1.986084,-9.806351,-4.115334
303.064, 5.614014,1.992493,1.992188,1.987915,1.99585,1.989441,-9.806351,-4.182671
331.9641, 4.817505,1.996155,2.002869,2.000732,2.001953,1.993103,-9.806351,-4.132392
333.0938, 4.32312,1.99585,1.991272,1.988525,1.99646,1.987305,-9.806351,-4.066552
343.259, 3.966064,2.005005,1.993408,1.983643,1.986084,1.987305,-9.806351,-4.089296
353.1543, 5.668945,1.999817,1.997375,1.989441,1.98761,1.979065,-9.806351,-4.172196
363.1162, 4.872437,2.002258,2.0047,1.991272,1.993103,1.991272,-9.806351,-4.144363
373.1, 5.696411,1.994019,1.992188,1.985474,1.994629,1.993103,-9.806351,-4.024653
383.0771, 5.366821,2.001648,1.993713,1.986389,1.989136,1.988525,-9.806351,-4.11264
