Data No,Gonio,Echo,Date,Subject,Pattern,Trial Num,Depth,RMSE,R2,Corrcoef,Updated Date
1,202210211613.csv,20221021 161310.mp4,20221021.0,Katagi,3.0,1.0,20.0,16.089504248840022,0.2392785976302954,0.4908373558729451,2022/11/30 19:11
2,202210211616.csv,20221021 161620.mp4,20221021.0,Katagi,3.0,2.0,20.0,11.857474482984268,0.2728271772864268,0.5250237219210626,2022/12/05 18:52
3,202210211619.csv,20221021 161915.mp4,20221021.0,Katagi,3.0,3.0,20.0,13.898147427984377,0.3580443618883294,0.6580136383858058,2022/12/05 19:10
4,202210211622.csv,20221021 162244.mp4,20221021.0,Katagi,3.0,4.0,20.0,7.428311824459728,0.6966051737526848,0.8347705054577862,2022/12/05 19:21
5,202210211626.csv,20221021 162613.mp4,20221021.0,Katagi,3.0,5.0,20.0,14.579082158486736,0.1020335959847222,0.5099731386391846,2022/12/05 19:30
6,202211081334.csv,20221108 133448.mp4,20221108.0,Katagi,1.0,1.0,30.0,16.472820311069935,0.4481277018615281,0.7195215049039936,2022/12/06 09:58
7,202211081339.csv,20221108 133918.mp4,20221108.0,Katagi,1.0,2.0,30.0,16.233117596862538,0.4572880400356872,0.6885752343293914,2022/12/06 09:58
8,202211081343.csv,20221108 134301.mp4,20221108.0,Katagi,1.0,3.0,30.0,14.485801821748655,0.3380888138666084,0.6020695624839698,2022/12/06 09:58
9,202211081345.csv,20221108 134549.mp4,20221108.0,Katagi,1.0,4.0,30.0,13.010646714292449,0.6081931571511522,0.8070104827855139,2022/12/06 09:58
10,202211081348.csv,20221108 134845.mp4,20221108.0,Katagi,1.0,5.0,30.0,15.50439424183102,0.4346894654538465,0.6622418238880912,2022/12/06 09:58
11,202211081352.csv,20221108 135205.mp4,20221108.0,Katagi,1.0,6.0,30.0,7.358158081170075,0.8349760696415642,0.9272501744512807,2022/12/06 15:11
12,202211081355.csv,20221108 135505.mp4,20221108.0,Katagi,1.0,7.0,30.0,7.3495529556026495,0.8308836181932229,0.9193539019944253,2022/12/06 15:11
13,202211081357.csv,20221108 135748.mp4,20221108.0,Katagi,1.0,8.0,30.0,9.817592682705738,0.7135340874448682,0.9124863757770885,2022/12/06 15:11
14,202211081401.csv,20221108 140103.mp4,20221108.0,Katagi,1.0,9.0,30.0,9.015792814255079,0.7454471449869648,0.889065343902083,2022/12/06 15:11
15,202211081404.csv,20221108 140434.mp4,20221108.0,Katagi,1.0,10.0,30.0,9.458311370557343,0.7250265632676884,0.8625601544683457,2022/12/06 15:11
