RMSE,R2,coeff,,,Ave,,,
,,,,,RMSE,R2,coeff,
11.78374749,0.717890477,0.903905916,,,22.93485157,-1.49106182,0.80782005,
,,,,,,,,
52.32412371,-6.304292285,0.881708302,,,,Ave,,
,,,,,,all,slow,fast
21.28915499,-2.227409706,0.717717032,,Pattern1,22.93485157,22.33528408,17.03315261,27.63741555
,,,,Pattern2,33.34138072,,,
17.16403442,-0.604189302,0.410803214,,Pattern3,13.62695228,,,
,,,,Pattern4,26.62837464,,,
3.832738707,0.895362882,0.959859396,,Pattern5,14.59575181,,,
,,,,Pattern6,19.97506792,,,
19.35720544,0.198977019,0.982155603,,Pattern7,23.05893,,,
,,,,Pattern8,19.79755,,,
17.68114851,-0.633400493,0.815074735,,Pattern9,14.16626,,,
,,,,Pattern10,26.64015,,,
19.34277595,-0.153219045,0.819933224,,Pattern11,13.81617,,,
,,,,Pattern12,39.44197,,,
8.925428207,0.490343991,0.814625031,,,,,,
,,,,,,,,
57.64815823,-7.290681735,0.772418049,,,,,,
