RMSE,R2,coeff,,,Ave,,
,,,,,RMSE,R2,coeff
94.33868304,-36.9109784,0.871305887,,,39.4419734,,
,,,,,,,
23.25212397,-0.822529336,0.423319968,,,,,
,,,,,,,
19.04139518,-1.169867684,0.558207135,,,,,
,,,,,,,
143.8494054,-109.2124451,0.281206131,,,,,
,,,,,,,
11.00398799,0.649959154,0.909264434,,,,,
,,,,,,,
24.21031814,-3.881135463,0.856930505,,,,,
,,,,,,,
15.43148472,-0.761377815,0.872875581,,,,,
,,,,,,,
43.51128448,-4.366619109,0.054625307,,,,,
,,,,,,,
11.45978185,0.170673044,0.704640036,,,,,
,,,,,,,
8.321269214,0.743084695,0.93289064,,,,,
