DataTypeVer2.0,Time,RawData
NumberOfData,,360
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,-1.95833
,0.1,-2.76582
,0.2,-2.89766
,0.3,-3.28768
,0.4,-4.45223
,0.5,-11.4945
,0.6,-15.0541
,0.7,-16.9438
,0.8,-19.3443
,0.9,-24.7441
,1,-26.9414
,1.1,-29.9352
,1.2,-33.7585
,1.3,-37.4444
,1.4,-40.2349
,1.5,-41.806
,1.6,-45.0305
,1.7,-47.9913
,1.8,-49.1724
,1.9,-47.5629
,2,-44.0802
,2.1,-38.5321
,2.2,-33.3685
,2.3,-29.8308
,2.4,-27.5676
,2.5,-23.8927
,2.6,-20.8934
,2.7,-19.7453
,2.8,-15.2683
,2.9,-11.4396
,3,-9.84656
,3.1,-5.40257
,3.2,-3.69417
,3.3,-1.35407
,3.4,-1.58479
,3.5,-1.66169
,3.6,-3.23823
,3.7,-7.02855
,3.8,-9.58289
,3.9,-10.6156
,4,-14.2356
,4.1,-16.3285
,4.2,-18.4709
,4.3,-22.393
,4.4,-24.8155
,4.5,-28.2598
,4.6,-30.6328
,4.7,-28.3696
,4.8,-28.6388
,4.9,-29.3859
,5,-24.8705
,5.1,-22.9369
,5.2,-20.8165
,5.3,-17.0042
,5.4,-13.2139
,5.5,-11.8516
,5.6,-10.1542
,5.7,-7.74267
,5.8,-7.08897
,5.9,-3.74362
,6,-2.28791
,6.1,-1.21124
,6.2,2.08467
,6.3,1.4969
,6.4,1.59577
,6.5,-0.11261
,6.6,-2.744e-3
,6.7,-1.15631
,6.8,-3.73263
,6.9,-5.76511
,7,-6.56162
,7.1,-9.32471
,7.2,-11.544
,7.3,-10.8793
,7.4,-13.1809
,7.5,-12.7634
,7.6,-13.3512
,7.7,-13.9005
,7.8,-14.5487
,7.9,-13.0546
,8,-10.8518
,8.1,-10.297
,8.2,-7.97887
,8.3,-6.45176
,8.4,-7.08897
,8.5,-5.06198
,8.6,-1.84847
,8.7,-2.91414
,8.8,-1.1673
,8.9,1.51338
,9,0.4532
,9.1,2.76583
,9.2,3.50191
,9.3,-2.4722e-2
,9.4,-3.5898
,9.5,-7.27574
,9.6,-12.1976
,9.7,-16.3835
,9.8,-21.1955
,9.9,-25.2385
,10,-29.254
,10.1,-29.4957
,10.2,-29.7869
,10.3,-29.71
,10.4,-29.7539
,10.5,-27.5676
,10.6,-25.5187
,10.7,-27.6335
,10.8,-25.1067
,10.9,-24.063
,11,-22.4974
,11.1,-20.421
,11.2,-16.7131
,11.3,-13.939
,11.4,-9.28076
,11.5,-5.96287
,11.6,-2.89217
,11.7,-3.50191
,11.8,-1.78255
,11.9,0.70587
,12,2.50215
,12.1,5.34764
,12.2,2.04623
,12.3,0.5246
,12.4,0.03571
,12.5,-1.87593
,12.6,-5.80356
,12.7,-7.08897
,12.8,-9.63782
,12.9,-11.5494
,13,-16.4054
,13.1,-19.9266
,13.2,-23.5246
,13.3,-23.3928
,13.4,-25.9142
,13.5,-26.0955
,13.6,-26.9084
,13.7,-24.7002
,13.8,-25.6615
,13.9,-27.1172
,14,-24.6947
,14.1,-22.4644
